duppl,AphiaID,Taxon,PhytoplanktonType
FALSE,104503,Clausocalanus furcatus,
FALSE,104504,Clausocalanus jobei,
FALSE,104505,Clausocalanus lividus,
FALSE,104508,Clausocalanus paululus,
FALSE,104509,Clausocalanus pergens,
FALSE,104510,Ctenocalanus vanus,
FALSE,104513,Microcalanus pygmaeus,
FALSE,104515,Pseudocalanus elongatus,
FALSE,104517,Pseudocalanus minutus,
FALSE,104519,Diaixis durani,
FALSE,104521,Diaixis hibernica,
FALSE,104522,Diaixis pygmaea,
FALSE,104542,Rhincalanus cornutus,
FALSE,104543,Rhincalanus nasutus,
FALSE,104544,Subeucalanus crassus,
FALSE,104545,Subeucalanus monachus,
FALSE,104546,Subeucalanus mucronatus,
FALSE,104547,Subeucalanus pileatus,
FALSE,104550,Euchaeta acuta,
FALSE,104552,Euchaeta marina,
FALSE,104553,Euchaeta media,
FALSE,104554,Euchaeta pubera,
FALSE,104555,Euchaeta spinosa,
FALSE,104560,Paraeuchaeta glacialis,
FALSE,104561,Paraeuchaeta gracilis,
FALSE,104563,Paraeuchaeta hebes,
FALSE,104566,Paraeuchaeta norvegica,
FALSE,104576,Heterorhabdus abyssalis,
FALSE,104577,Heterorhabdus clausi,
FALSE,104579,Heterorhabdus norvegicus,
FALSE,104580,Heterorhabdus papilliger,
FALSE,104582,Heterorhabdus spinifer,
FALSE,104616,Mecynocera clausi,
FALSE,104632,Metridia longa,
FALSE,104633,Metridia lucens,
FALSE,104637,Pleuromamma abdominalis,
FALSE,104638,Pleuromamma borealis,
FALSE,104639,Pleuromamma gracilis,
FALSE,104640,Pleuromamma piseki,
FALSE,104642,Pleuromamma robusta,
FALSE,104643,Pleuromamma xiphias,
FALSE,104651,Calocalanus contractus,
FALSE,104669,Calocalanus pavo,
FALSE,104673,Calocalanus styliremis,
FALSE,104685,Paracalanus parvus,
FALSE,104686,Parapontella brevicornis,
FALSE,104698,Phaenna spinifera,
FALSE,104705,Xanthocalanus fallax,
FALSE,104722,Anomalocera patersoni,
FALSE,104727,Labidocera acutifrons,
FALSE,104728,Labidocera aestiva,
FALSE,104736,Labidocera wollastoni,
FALSE,104738,Pontella lobiancoi,
FALSE,104743,Pontellina plumata,
FALSE,104757,Pseudocyclopia minor,
FALSE,104793,Scaphocalanus echinatus,
FALSE,104807,Scolecithricella dentata,
FALSE,104811,Scolecithricella minor,
FALSE,104820,Scolecithrix bradyi,
FALSE,104821,Scolecithrix danae,
FALSE,104832,Scottocalanus persecans,
FALSE,104833,Scottocalanus securifrons,
FALSE,104872,Eurytemora affinis,
FALSE,104878,Temora longicornis,
FALSE,104879,Temora stylifera,
FALSE,104880,Temora turbinata,
FALSE,104897,Leptocardii,
FALSE,104902,Branchiostoma,
FALSE,104906,Branchiostoma lanceolatum,
FALSE,105408,Parasagitta,
FALSE,105410,Sagitta,
FALSE,105416,Eukrohnia hamata,
FALSE,105440,Parasagitta elegans,
FALSE,105443,Parasagitta setosa,
FALSE,105445,Pseudosagitta maxima,
FALSE,105450,Sagitta elegans,
FALSE,105464,Serratosagitta serratodentata,
FALSE,105506,Calliacantha,
FALSE,105513,Diaphanoeca,
FALSE,105518,Parvicorbicula,
FALSE,105535,Monosiga,
FALSE,105536,Proterospongia,
FALSE,105541,Salpingoeca,
FALSE,105557,Bicosta minor,
FALSE,105558,Bicosta spinifera,
FALSE,105559,Calliacantha longicaudata,
FALSE,105561,Calliacantha natans,
FALSE,105571,Diaphanoeca grandis,
FALSE,105574,Diaphanoeca sphaerica,
FALSE,105588,Parvicorbicula socialis,
