AphiaID,Taxon,ZooHabitat
104638,Pleuromamma borealis,Holoplankton
104639,Pleuromamma gracilis,Holoplankton
104640,Pleuromamma piseki,Holoplankton
104642,Pleuromamma robusta,Holoplankton
104643,Pleuromamma xiphias,Holoplankton
104685,Paracalanus parvus,Holoplankton
104686,Parapontella brevicornis,Holoplankton
104698,Phaenna spinifera,Holoplankton
104705,Xanthocalanus fallax,Holoplankton
104722,Anomalocera patersoni,Holoplankton
104727,Labidocera acutifrons,Holoplankton
104728,Labidocera aestiva,Holoplankton
104736,Labidocera wollastoni,Holoplankton
104743,Pontellina plumata,Holoplankton
104757,Pseudocyclopia minor,Holoplankton
104793,Scaphocalanus echinatus,Holoplankton
104811,Scolecithricella minor,Holoplankton
104820,Scolecithrix bradyi,Holoplankton
104821,Scolecithrix danae,Holoplankton
104832,Scottocalanus persecans,Holoplankton
104833,Scottocalanus securifrons,Holoplankton
104878,Temora longicornis,Holoplankton
104879,Temora stylifera,Holoplankton
104880,Temora turbinata,Holoplankton
104897,Leptocardii,Holoplankton
105410,Sagitta,Holoplankton
105440,Parasagitta elegans,Holoplankton
105443,Parasagitta setosa,Holoplankton
105450,Sagitta elegans,Holoplankton
104651,Calocalanus contractus,NYA
104669,Calocalanus pavo,NYA
104673,Calocalanus styliremis,NYA
105464,Serratosagitta serratodentata,Holoplankton
106265,Bosmina,Holoplankton
106267,Evadne,Holoplankton
106269,Podon,Holoplankton
106271,Bosmina coregoni,Holoplankton
106272,Penilia avirostris,Holoplankton
106273,Evadne nordmanni,Holoplankton
106274,Evadne spinifera,Holoplankton
104738,Pontella lobiancoi,NYA
106276,Podon intermedius,Holoplankton
106277,Podon leuckartii,Holoplankton
106331,Beroe,Holoplankton
104807,Scolecithricella dentata,NYA
106346,Pleurobrachia,Holoplankton
106358,Beroe cucumis,Holoplankton
106361,Beroe gracilis,Holoplankton
106362,Beroe ovata,Holoplankton
106386,Pleurobrachia pileus,Holoplankton
104872,Eurytemora affinis,NYA
106393,Bolinopsis infundibulum,Holoplankton
106401,Mnemiopsis leidyi,Holoplankton
106422,Oithonidae C1-6,Holoplankton
106437,Cyclopina,Holoplankton
106485,Oithona,Holoplankton
106528,Cyclopina longicornis,Holoplankton
105408,Parasagitta,NYA
106642,Oithona atlantica,Holoplankton
105416,Eukrohnia hamata,NYA
106651,Oithona nana,Holoplankton
106652,Oithona plumifera,Holoplankton
105445,Pseudosagitta maxima,NYA
106656,Oithona similis,Holoplankton
106827,Lucifer,Holoplankton
105506,Calliacantha,
105513,Diaphanoeca,
105518,Parvicorbicula,
105535,Monosiga,
105536,Proterospongia,
105541,Salpingoeca,
105557,Bicosta minor,
105558,Bicosta spinifera,
105559,Calliacantha longicaudata,
105561,Calliacantha natans,
105571,Diaphanoeca grandis,
105574,Diaphanoeca sphaerica,
105588,Parvicorbicula socialis,
105601,Pleurasiga reynoldsii,
106033,Sessilia,NYA
107689,Processa nouveli,Holoplankton
110671,Euphausiid,Holoplankton
106264,Podonidae,NYA
110679,Thysanoessa spp. furcilia,Holoplankton
110708,Thysanoessa inermis,Holoplankton
110709,Thysanoessa longicaudata adult,Holoplankton
110711,Thysanoessa raschii,Holoplankton
115153,Harpacticidae,Holoplankton
115186,Aegisthus,Holoplankton
115341,Microsetella,Holoplankton
115348,Euterpina,Holoplankton
115403,Longipedia,Holoplankton
106278,Pseudevadne tergestina,NYA
106281,Chroomonas,
106282,Cryptomonas,
106283,Plagioselmis,
106285,Teleaulax,
106287,Hemiselmis,
106289,Rhodomonas,
106295,Chroomonas vectensis,
106297,Cryptomonas baltica,
106303,Plagioselmis prolonga,
106305,Teleaulax acuta,
106306,Teleaulax amphioxeia,
106310,Hemiselmis virescens,
106313,Rhodomonas baltica,
106314,Rhodomonas marina,
106316,Rhodomonas salina,
116115,Microsetella norvegica C1-6,Holoplankton
116116,Microsetella rosea C1-6,Holoplankton
116162,Euterpina acutifrons,Holoplankton
116383,Miracia efferata,Holoplankton
116598,Parathalestris cronii,Holoplankton
117211,Rathkea,Holoplankton
117252,Tiaropsis,Holoplankton
117849,Aglantha digitale,Holoplankton
117947,Solmaris corona,Holoplankton
119777,Monstrillidae C1-6,Holoplankton
119780,Monstrilla,Holoplankton
119805,Monstrilla longiremis,Holoplankton
119822,Mysidae,Holoplankton
119859,Gastrosaccus,Holoplankton
119930,Gnathophausia zoea,Holoplankton
127482,Halocyprididae,Holoplankton
106669,Dendrobranchiata,NYA
128569,Corycaeidae,Holoplankton
128586,Oncaeidae C1-6,Holoplankton
128634,Corycaeus,Holoplankton
128639,Urocorycaeus,Holoplankton
128672,Lubbockia,Holoplankton
106733,Galatheidae,NYA
106734,Porcellanidae,NYA
106738,Paguridae,NYA
106776,Alpeidae,NYA
106798,Axiidae,NYA
106800,Callianassidae,NYA
128690,Oncaea,Holoplankton
106834,Galathea,NYA
106838,Porcellana,NYA
106854,Pagurus,NYA
106889,Ebalia,NYA
106903,Hyas,NYA
106925,Liocarcinus,NYA
106927,Necora,NYA
106976,Pinnotheres,NYA
106986,Eualus,NYA
107007,Crangon,NYA
107010,Philocheras,NYA
107054,Processa,NYA
107072,Callianassa,NYA
107079,Upogebia,NYA
107188,Pisidia longicornis,NYA
107190,Porcellana platycheles,NYA
107232,Pagurus bernhardus,NYA
128721,Copilia spp.,Holoplankton
107276,Cancer pagurus,NYA
107277,Corystes cassivelaunus,NYA
107345,Macropodia rostrata,NYA
107379,Callinectes sapidus,NYA
128775,Giardella callianassae,Holoplankton
107388,Liocarcinus holsatus,NYA
128776,Giardella thompsoni,Holoplankton
107506,Eualus occultus,NYA
107507,Eualus pusiolus,NYA
107551,Crangon allmanni,NYA
107552,Crangon crangon,NYA
107557,Philocheras bispinosus,NYA
107647,Pandalina brevirostris,NYA
107677,Pasiphaea sivado,NYA
128800,Corycaeus speciosus,Holoplankton
107737,Jaxea nocturna,NYA
107739,Upogebia deltaura,NYA
107742,Upogebia stellata,NYA
108343,Processa modica modica,NYA
108344,Processa nouveli holthuisi,NYA
109390,Dinophysiales,
109391,Gonyaulacales,
109392,Gymnodiniales,
109393,Noctilucales,
109394,Peridiniales,
109394,Peridiniales,
109394,Peridiniales,
109396,Prorocentrales,
109406,Dinophysiaceae,
109406,Dinophysiaceae,
109406,Dinophysiaceae,
109408,Goniodomataceae,
109410,Gymnodiniaceae,
109413,Polykrikaceae,
109415,Warnowiaceae,
109418,Noctilucaceae,
109421,Ceratiaceae,
109425,Cladopyxidaceae,
109428,Gonyaulacaceae,
109431,Ostreopsidaceae,
109432,Oxytoxaceae,
109433,Peridiniaceae,
109435,Protoperidiniaceae,
109436,Pyrophacaceae,
109438,Thoracosphaeraceae,
109442,Prorocentraceae,
109444,Pyrocystaceae,
109458,Pseliodinium,
109459,Amphisolenia,
109462,Dinophysis,
109462,Dinophysis,
109462,Dinophysis,
109463,Histioneis,
109464,Ornithocercus,
109466,Phalacroma,
109467,Sinophysis,
109468,Fragilidium,
109470,Alexandrium ,
109470,Alexandrium ,
109470,Alexandrium ,
109473,Amphidinium,
109474,Cochlodinium,
109475,Gymnodinium,
109475,Gymnodinium,
109475,Gymnodinium,
109476,Gyrodinium,
109476,Gyrodinium,
109476,Gyrodinium,
109477,Katodinium,
109478,Ptychodiscus,
109479,Torodinium,
109485,Polykrikos,
109486,Oxyrrhis,
109487,Pronoctiluca,
109490,Nematodinium,
109491,Warnowia,
109492,Woloszynskia,
109499,Kofoidinium,
109500,Noctiluca,
109502,Spatulodinium,
109504,Pentapharsodinium,
109505,Preperidinium,
109506,Ceratium,
109506,Ceratium,
109506,Ceratium,
109507,Ceratocorys spp.,
109508,Ceratoperidinium,
109509,Cladopyxis,
109510,Micracanthodinium,
109511,Micranthodinium,
109512,Palaeophalacroma,
109515,Diplopsalis,
109516,Diplosalsis,
109517,Amphidoma,
109518,Amylax,
109519,Gonyaulax,
109519,Gonyaulax,
109519,Gonyaulax,
109524,Ostreopsis,
109525,Adenoides,
109526,Centrodinium,
109527,Corythodinium,
109528,Oxytoxum,
109529,Pavillardinium,
109530,Roscoffia,
109533,Calciodinellum,
109534,Coolia  ,
109537,Diplopsalopsis,
109538,Glenodinium,
109540,Heterocapsa,
109541,Kryptoperidinium,
109542,Oblea,
109543,Peridiniella,
109545,Scrippsiella,
109548,Blepharocysta,
109549,Peridinium,
109550,Podolampas,
109553,Protoperidinium,
109553,Protoperidinium,
109553,Protoperidinium,
109555,Pyrophacus,
109556,Amphidiniopsis,
109557,Thecadinium,
109559,Goniodoma,
109560,Triadinium,
109564,Mesoporos,
109566,Prorocentrum,
109566,Prorocentrum,
109566,Prorocentrum,
109567,Protoceratium,
109569,Dissodinium,
109571,Pyrocystis,
109575,Paulsenella chaetoceratis,
109585,Minuscula bipes,
109603,Dinophysis acuminata,
109604,Dinophysis acuta,
109612,Dinophysis caudata,
109616,Dinophysis dens,
109624,Dinophysis fortii,
109627,Dinophysis hastata,
109637,Dinophysis norvegica,
109638,Dinophysis odiosa,
109649,Dinophysis pulchella,
109651,Dinophysis punctata,
109659,Dinophysis skagii,
109662,Dinophysis tripos,
109693,Ornithocercus magnificus,
109705,Fragilidium subglobosum,
109707,Alexandrium affine,
109710,Alexandrium leei,
109711,Alexandrium minutum,
109712,Alexandrium ostenfeldii,
109713,Alexandrium pseudogonyaulax,
109714,Alexandrium tamarense,
109716,Achradina pulchra,
109717,Actiniscus pentasterias,
109718,Amphidinium acutissimum,
109723,Amphidinium carterae,
109726,Amphidinium crassum,
109731,Amphidinium herdmanii,
109740,Amphidinium latum,
109741,Amphidinium longum,
109745,Amphidinium operculatum,
109754,Amphidinium sphenoides,
109766,Cochlodinium helicoides,
109773,Cochlodinium pupa,
109777,Gymnodinium abbreviatum,
109784,Gymnodinium catenatum,
109785,Gymnodinium chlorophorum,
109790,Gymnodinium diploconus,
109791,Gymnodinium elongatum,
109800,Gymnodinium gracile,
109802,Gymnodinium halophilum,
109809,Gymnodinium lohmannii,
