aphiaID,scientificName,LifeformCategory
104012,Cafeteria roenbergensis,Undefined
104015,Pseudobodo tremulans,Other
104016,Caecitellus parvulus,Undefined
104019,Craniata,Undefined
104020,Rhynchonellata,Undefined
104021,Craniida,Undefined
104023,Terebratulida,Undefined
104028,Cancellothyrididae,Undefined
104055,Terebratulina retusa,Undefined
104074,Acartiidae,Undefined
104079,Calanidae,Undefined
104080,Candaciidae,Undefined
104081,Centropagidae,Undefined
104082,Clausocalanidae,Holoplankton
104088,Lucicutiidae,Undefined
104092,Metridinidae,Holoplankton
104093,Paracalanidae,Undefined
104097,Pontellidae,Holoplankton
104100,Pseudodiaptomidae,Undefined
104106,Temoridae,Undefined
104108,Acartia,Holoplankton
104152,Calanus,Holoplankton
104157,Candacia,Holoplankton
104159,Centropages,Holoplankton
104160,Isias,Undefined
104189,Gaussia,Undefined
104191,Pleuromamma,Holoplankton
104193,Calocalanus,Holoplankton
104196,Paracalanus,Holoplankton
104208,Labidocera,Holoplankton
104212,Pseudocyclops,Undefined
104240,Eurytemora,Holoplankton
104241,Temora,Holoplankton
104262,Acartia tonsa,Holoplankton
104464,Calanus finmarchicus,Holoplankton
104465,Calanus glacialis,Holoplankton
104495,Centropages furcatus,Holoplankton
104496,Centropages hamatus,Holoplankton
104499,Centropages typicus,Holoplankton
104501,Isias clavipes,Holoplankton
104551,Euchaeta concinna,Undefined
104625,Gaussia princeps,Undefined
104669,Calocalanus pavo,Other
104685,Paracalanus parvus,Holoplankton
104872,Eurytemora affinis,Other
104878,Temora longicornis,Holoplankton
104880,Temora turbinata,Holoplankton
104913,Cyclophyllidea,Undefined
105399,Eukrohnia,Undefined
105408,Parasagitta,Other
105410,Sagitta,Holoplankton
105441,Parasagitta friderici,Undefined
105443,Parasagitta setosa,Holoplankton
105450,Sagitta elegans,Holoplankton
105473,Julida,Undefined
105498,Acanthoecidae,Undefined
105500,Salpingoecidae,Undefined
105502,Acanthoeca,Undefined
105505,Bicosta,Undefined
105506,Calliacantha,Other
105511,Crinolina,Undefined
105513,Diaphanoeca,Other
105520,Pleurasiga,Undefined
105526,Savillea,Undefined
105529,Stephanoeca,Undefined
105531,Codosiga,Undefined
105535,Monosiga,Other
105538,Choanoeca,Undefined
105541,Salpingoeca,Other
105557,Bicosta minor,Other
105559,Calliacantha longicaudata,Other
105561,Calliacantha natans,Other
105569,Crinolina isefiordensis,Undefined
105571,Diaphanoeca grandis,Other
105598,Pleurasiga minima,Undefined
105601,Pleurasiga reynoldsii,Other
105612,Savillea micropora,Undefined
105623,Stephanoeca diplocostata,Undefined
105640,Monosiga brevicollis,Undefined
105650,Choanoeca perplexa,Undefined
105667,Salpingoeca infusionum,Undefined
105684,Salpingoeca urceolata,Undefined
106032,Pedunculata,Undefined
106033,Sessilia,Other
106057,Balanidae,Undefined
106066,Verrucidae,Undefined
106087,Lepas,Meroplankton
106101,Pollicipes,Undefined
106123,Megabalanus,Undefined
106149,Lepas anatifera,Undefined
106177,Pollicipes pollicipes,Undefined
106234,Chelonibia patula,Undefined
106262,Bosminidae,Undefined
106263,Sididae,Undefined
106265,Bosmina,Holoplankton
106266,Penilia,Undefined
106272,Penilia avirostris,Holoplankton
106281,Chroomonas,Other
106282,Cryptomonas,Other
106283,Plagioselmis,Other
106285,Teleaulax,Other
106286,Goniomonas,Undefined
106287,Hemiselmis,Other
106289,Rhodomonas,Other
106306,Teleaulax amphioxeia,Other
106309,Goniomonas truncata,Undefined
106317,Beroidae,Undefined
106323,Mertensiidae,Undefined
106324,Pleurobrachiidae,Undefined
106341,Mertensia,Undefined
106346,Pleurobrachia,Holoplankton
106407,Symbion,Undefined
106413,Cyclopidae,Undefined
106414,Cyclopinidae,Undefined
106421,Notodelphyidae,Undefined
106422,Oithonidae,Holoplankton
106437,Cyclopina,Holoplankton
106485,Oithona,Holoplankton
106623,Notodelphys prasina,Undefined
106776,Alpheidae,Other
106777,Hippolytidae,Undefined
106782,Crangonidae,Undefined
106791,Processidae,Undefined
108402,Plagiorchiida,Undefined
108424,Philophthalmidae,Undefined
109386,Blastodiniales,Undefined
109390,Dinophysiales,Other
109391,Gonyaulacales,Other
109392,Gymnodiniales,Other
109393,Noctilucales,Other
109394,Peridiniales,Other
109395,Phytodiniales,Undefined
109396,Prorocentrales,Other
109398,Pyrocystales,Undefined
109399,Suessiales,Undefined
109400,Chytriodiniaceae,Undefined
109401,Amoebophryaceae,Undefined
109406,Dinophysiaceae,Other
109408,Goniodomataceae,Other
109410,Gymnodiniaceae,Other
109412,Lophodiniaceae,Undefined
109415,Warnowiaceae,Other
109418,Noctilucaceae,Other
109421,Ceratiaceae,Other
109422,Ceratocoryaceae,Undefined
109426,Crypthecodiniaceae,Undefined
109428,Gonyaulacaceae,Other
109431,Ostreopsidaceae,Other
109433,Peridiniaceae,Other
109435,Protoperidiniaceae,Other
109436,Pyrophacaceae,Other
109438,Thoracosphaeraceae,Other
109440,Phytodiniaceae,Undefined
109442,Prorocentraceae,Other
109444,Pyrocystaceae,Other
109445,Symbiodiniaceae,Undefined
109448,Amoebophrya,Undefined
109462,Dinophysis,Other
109466,Phalacroma,Other
109467,Sinophysis,Other
109468,Fragilidium,Other
109470,Alexandrium,Other
109473,Amphidinium,Other
109474,Cochlodinium,Other
109475,Gymnodinium,Other
109476,Gyrodinium,Other
109477,Katodinium,Other
109478,Ptychodiscus,Other
109485,Polykrikos,Other
109486,Oxyrrhis,Other
109490,Nematodinium,Other
109491,Warnowia,Other
109492,Woloszynskia,Other
109499,Kofoidinium,Other
109500,Noctiluca,Other
109504,Pentapharsodinium,Other
109506,Ceratium,Other
109507,Ceratocorys,Other
109514,Crypthecodinium,Undefined
109518,Amylax,Other
109519,Gonyaulax,Other
109524,Ostreopsis,Other
109540,Heterocapsa,Other
109544,Peridiniopsis,Undefined
109545,Scrippsiella,Other
109549,Peridinium,Other
109553,Protoperidinium,Other
109555,Pyrophacus,Other
109556,Amphidiniopsis,Other
109558,Thoracosphaera,Undefined
109559,Goniodoma,Other
109566,Prorocentrum,Other
109567,Protoceratium,Other
109571,Pyrocystis,Other
109572,Symbiodinium,Undefined
109583,Kolkwitziella acuta,Undefined
109603,Dinophysis acuminata,Other
109707,Alexandrium affine,Other
109711,Alexandrium minutum,Other
109712,Alexandrium ostenfeldii,Other
109714,Alexandrium tamarense,Other
109720,Amphidinium asymmetricum,Undefined
109784,Gymnodinium catenatum,Other
109889,Torodinium robustum,Other
109894,Herdmania litoralis,Other
109896,Pheopolykrikos beauchampii,Other
109899,Polykrikos kofoidii,Other
109902,Oxyrrhis marina,Other
109905,Erythropsidinium agile,Undefined
109910,Woloszynskia pascheri,Undefined
109918,Kofoidinium pavillardii,Other
109921,Noctiluca scintillans,Other
109986,Ceratocorys horrida,Undefined
110019,Gonyaulax fragilis,Undefined
110035,Gonyaulax polygramma,Other
110068,Ostreopsis ovata,Undefined
110130,Coolia monotis,Other
110152,Heterocapsa rotundata,Other
110208,Protoperidinium bipes,Other
110213,Protoperidinium conicum,Other
110214,Protoperidinium crassipes,Other
110216,Protoperidinium denticulatum,Other
110217,Protoperidinium depressum,Other
110219,Protoperidinium divergens,Other
110220,Protoperidinium excentricum,Other
110229,Protoperidinium leonis,Other
110244,Protoperidinium pallidum,Other
110245,Protoperidinium pellucidum,Other
110248,Protoperidinium punctulatum,Other
110260,Protoperidinium thorianum,Other
110267,Pyrophacus steinii,Undefined
110270,Amphidiniopsis swedmarkii,Undefined
110303,Prorocentrum micans,Other
110304,Prorocentrum minimum,Other
110316,Prorocentrum triestinum,Other
110321,Protoceratium reticulatum,Other
110325,Dissodinium pseudolunula,Other
110335,Symbiodinium microadriaticum,Undefined
110342,Echiuroidea,Undefined
110349,Echiuridae,Undefined
110671,Euphausiidae,Holoplankton
110690,Meganyctiphanes norvegica,Other
110722,Cheilostomatida,Other
110723,Ctenostomatida,Undefined
110724,Cyclostomatida,Undefined
110729,Bitectiporidae,Undefined
110731,Bugulidae,Undefined
110733,Calloporidae,Undefined
110734,Candidae,Undefined
110736,Celleporidae,Undefined
110746,Electridae,Undefined
110762,Membraniporidae,Undefined
110772,Schizoporellidae,Undefined
110775,Smittinidae,Undefined
110781,Watersiporidae,Undefined
110783,Alcyonidiidae,Undefined
110795,Nolellidae,Undefined
110801,Triticellidae,Undefined
110806,Crisiidae,Undefined
110814,Tubuliporidae,Undefined
110829,Schizomavella,Undefined
110839,Bugula,Undefined
110851,Callopora,Undefined
110875,Celleporina,Undefined
110903,Conopeum,Undefined
110904,Electra,Undefined
110938,Membranipora,Undefined
110975,Schizoporella,Undefined
110978,Parasmittina,Undefined
110991,Watersipora,Undefined
111020,Triticella,Undefined
111022,Amathia,Undefined
111032,Crisia,Undefined
111054,Tubulipora,Meroplankton
111062,Aetea anguina,Undefined
111099,Schizomavella linearis,Undefined
111158,Bugula neritina,Undefined
111196,Callopora dumerilii,Undefined
111197,Callopora lineata,Undefined
111274,Celleporina hassallii,Undefined
111351,Conopeum reticulum,Undefined
111411,Membranipora membranacea,Undefined
111525,Schizoporella dunkeri,Undefined
111540,Scruparia chelata,Undefined
111592,Watersipora subtorquata,Undefined
111602,Alcyonidium mamillatum,Undefined
111621,Flustrellidra hispida,Undefined
111631,Anguinella palmata,Undefined
111695,Crisia denticulata,Undefined
111704,Crisia sigmoidea,Undefined
111719,Plagioecia patina,Undefined
111758,Tubulipora flabellaris,Undefined
111760,Tubulipora liliacea,Undefined
111794,Loxosomatidae,Undefined
111795,Barentsia,Undefined
111799,Loxosomella,Undefined
111800,Barentsia benedeni,Undefined
111834,Loxosomella murmanica,Undefined
111901,Peneroplidae,Undefined
111902,Soritidae,Undefined
111907,Anomalinidae,Undefined
111929,Globigerinidae,Undefined
111937,Nummulitidae,Undefined
111948,Rotaliidae,Undefined
111975,Trochamminidae,Undefined
111984,Gromia,Undefined
112069,Sorites,Undefined
112078,Ammonia,Undefined
112084,Cibicidoides,Undefined
112117,Stainforthia,Undefined
112162,Elphidium,Undefined
112168,Epistominella,Undefined
112341,Reophax,Undefined
112412,Trochammina,Undefined
112845,Ammonia aberdoveyensis,Undefined
112877,Cibicides refulgens,Undefined
112890,Cibicidoides wuellerstorfi,Undefined
113042,Bulimina marginata,Undefined
113070,Stainforthia fusiformis,Undefined
113334,Epistominella exigua,Undefined
113460,Orbulina universa,Undefined
114416,Chaetonotidae,Undefined
114417,Neodasyidae,Undefined
114420,Dactylopodolidae,Undefined
114421,Lepidodasyidae,Undefined
114424,Thaumastodermatidae,Undefined
114425,Turbanellidae,Undefined
114427,Chaetonotus,Undefined
114428,Halichaetonotus,Undefined
114430,Heterolepidoderma,Undefined
114432,Lepidodermella,Undefined
114435,Neodasys,Undefined
114445,Lepidodasys,Undefined
114446,Megadasys,Undefined
114447,Mesodasys,Undefined
114459,Ptychostomella,Undefined
114460,Tetranchyroderma,Undefined
114461,Thaumastoderma,Undefined
114464,Paraturbanella,Undefined
114593,Mesodasys adenotubulatus,Undefined
114595,Mesodasys laticaudatus,Undefined
114657,Tetranchyroderma pachysomum,Undefined
114675,Thaumastoderma ramuliferum,Undefined
114708,Austrognathiidae,Undefined
114710,Gnathostomulidae,Undefined
114711,Mesognathariidae,Undefined
114717,Austrognatharia,Undefined
114718,Austrognathia,Undefined
114726,Haplognathia,Undefined
114737,Gnathostomula paradoxa,Undefined
114738,Labidognathia longicollis,Undefined
114746,Haplognathia ruberrima,Undefined
115058,Mischococcales,Other
115060,Isochrysidales,Other
115061,Prymnesiales,Other
115064,Calyptrosphaeraceae,Undefined
115068,Rhabdosphaeraceae,Undefined
115072,Phaeocystaceae,Undefined
115073,Prymnesiaceae,Other
115086,Emiliania,Other
115088,Phaeocystis,Other
115089,Chrysocampanula,Undefined
115090,Chrysochromulina,Other
115104,Emiliania huxleyi,Other
115126,Chrysochromulina parkeae,Other
115135,Ameiridae,Undefined
115140,Canthocamptidae,Undefined
115141,Canuellidae,Undefined
115151,Ectinosomatidae,Undefined
115153,Harpacticidae,Holoplankton
115163,Miraciidae,Undefined
115178,Tachidiidae,Undefined
115181,Thalestridae,Undefined
115188,Ameira,Undefined
115241,Mesochra,Undefined
115249,Canuella,Undefined
115309,Diosaccus,Undefined
115349,Harpacticus,Undefined
115351,Tigriopus,Other
115352,Zaus,Undefined
115444,Tachidius,Undefined
115467,Phyllothalestris,Undefined
115484,Tisbe,Other
115525,Ameira scotti,Undefined
115706,Mesochra rapiens,Undefined
115723,Canuella perplexa,Undefined
115960,Paramphiascella fulvofasciata,Undefined
116184,Tigriopus fulvus,Undefined
116187,Zaus caeruleus,Undefined
116290,Paralaophonte congenera,Undefined
116383,Miracia efferata,Holoplankton
116999,Aglaophenia,Undefined
117015,Bougainvillia,Meroplankton
117029,Campanularia,Undefined
117030,Clytia,Meroplankton
117031,Gonothyraea,Undefined
117033,Laomedea,Undefined
117034,Obelia,Meroplankton
117051,Cordylophora,Undefined
117067,Coryne,Undefined
117074,Solmissus,Undefined
117085,Helgicirrha,Undefined
117092,Eucheilota,Undefined
117098,Geryonia,Undefined
117099,Liriope,Undefined
117103,Halecium,Undefined
117113,Antennella,Undefined
117117,Hydractinia,Meroplankton
117119,Podocoryna,Undefined
117136,Lafoea,Undefined
117142,Melicertissa,Undefined
117146,Staurostoma,Undefined
117152,Melicertum,Undefined
117175,Olindias,Undefined
117192,Phialella,Undefined
117195,Nemertesia,Undefined
117196,Plumularia,Undefined
117213,Aglaura,Undefined
117218,Pantachogon,Undefined
117226,Amphisbetia,Undefined
117233,Sertularella,Undefined
117234,Sertularia,Undefined
117250,Stegopoma,Undefined
117254,Ectopleura,Undefined
117368,Clytia hemisphaerica,Meroplankton
117377,Gonothyraea loveni,Undefined
117379,Laomedea angulata,Undefined
117380,Laomedea calceolifera,Undefined
117385,Obelia bidentata,Undefined
117428,Cordylophora caspia,Undefined
117475,Dipurena halterata,Undefined
117504,Solmissus incisa,Undefined
117517,Eutonina indicans,Other
117535,Eucheilota maculata,Other
117567,Geryonia proboscidalis,Undefined
117568,Liriope tetraphylla,Other
117597,Halecium muricatum,Undefined
117602,Halecium pusillum,Undefined
117610,Hydranthea margarica,Undefined
117632,Halopteris diaphana,Undefined
117674,Kirchenpaueria pinnata,Undefined
117774,Olindias phosphorica,Undefined
117804,Phialella quadrata,Meroplankton
